,uuid,municipio,estrato_vivienda,nivel_educativo,cilin_grupo,modelo_grupo,dias_semana,herramienta_trabajo,transporte_cotidiano,trabajo_domicilios,trabajo_transporte_pasajeros,frecuencia_revisionpre,costo_casco,costo_mantenimiento,gasto_anual,licencia_moto,licencia_curso,experiencia,riesgo_velocidad,riesgo_sinlucesdia,riesgo_sinlucesnoche,riesgo_sinreflectivos,motivo_dinero,motivo_tiempo,motivo_independencia,epp_casco,epp_guantes,epp_botas,epp_rodilleras,epp_reflectivos,epp_chaquetaprot,epp_chaquetairbag,edad,sexo,clase_moto,tipo_freno,sector
51,1_10_1044,MEDELLÍN,3,Universitaria o postgrado,100-125,2021-2022,7,1,1,0,0,Nunca,104000,145000.0,3200000.0,1,0,11-20,1,0,1,1,1,1,1,1,0,0,0,0,0,0,32,hombre,moto_street,frenos_mixto,sector_servicio
52,1_10_1045,MEDELLÍN,3,Secundaria,100-125,2001-2010,7,0,1,0,0,Entre 50% y 75%,130000,22000.0,870000.0,1,0,11-20,1,1,1,1,1,1,0,1,1,0,0,0,0,0,24,hombre,moto_street,frenos_tambor,sector_servicio
53,1_10_1046,MEDELLÍN,3,Universitaria o postgrado,126-200,2011-2020,7,1,1,0,0,Menos del 25%,381000,330000.0,2150000.0,1,1,0-2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,22,mujer,moto_scooter,frenos_disco,sector_servicio
55,1_10_1048,MEDELLÍN,3,Técnica / Tecnológica,126-200,2011-2020,7,0,1,0,0,Mayor a 75%,271000,97000.0,1120000.0,1,0,6-10,1,1,1,1,1,1,0,1,1,0,0,1,0,0,26,hombre,moto_scooter,frenos_disco,sector_comercio
59,1_10_1051,MEDELLÍN,2,Técnica / Tecnológica,100-125,2011-2020,7,0,1,0,0,Mayor a 75%,494000,63000.0,1850000.0,1,1,6-10,1,1,1,1,1,1,0,1,0,0,0,0,0,0,33,hombre,moto_scooter,frenos_disco,sector_servicio
61,1_10_1053,MEDELLÍN,3,Técnica / Tecnológica,100-125,2011-2020,7,0,1,0,0,Mayor a 75%,262000,59000.0,1020000.0,1,1,6-10,1,1,1,1,1,1,1,1,1,0,0,1,0,0,54,mujer,moto_scooter,frenos_disco,sector_servicio
62,1_10_1054,MEDELLÍN,2,Universitaria o postgrado,126-200,2021-2022,7,1,1,0,0,Menos del 25%,301000,107000.0,2850000.0,1,1,11-20,1,1,1,1,1,1,1,1,1,0,0,0,0,0,32,hombre,moto_street,frenos_mixto,sector_servicio
63,1_10_1055,MEDELLÍN,3,Secundaria,100-125,2011-2020,7,0,1,0,0,Mayor a 75%,203000,24000.0,980000.0,1,0,11-20,1,1,1,1,1,1,1,1,0,0,0,0,0,0,44,hombre,moto_street,frenos_mixto,sector_comercio
64,1_10_1056,MEDELLÍN,3,Universitaria o postgrado,100-125,2011-2020,7,1,1,0,0,Mayor a 75%,216000,58000.0,1450000.0,1,1,3-5,1,1,1,1,1,1,1,1,0,0,0,0,0,0,29,mujer,moto_street,frenos_mixto,sector_servicio
65,1_10_1057,MEDELLÍN,3,Técnica / Tecnológica,100-125,2011-2020,7,0,1,0,0,Mayor a 75%,129000,98000.0,1060000.0,1,0,6-10,1,1,1,1,1,1,1,1,1,0,0,0,0,0,32,hombre,moto_street,frenos_disco,sector_comercio
